model,source,input_price,output_price,total_params_b,active_params_b,context_length,release_year,has_vision,is_specialty
Meta: Llama 3.2 1B Instruct,openrouter,0.027,0.201,1.0,1.0,131072,2024,0,0
LiquidAI: LFM2-24B-A2B,openrouter,0.03,0.12,24.0,2.0,128000,2026,0,0
Qwen: Qwen3.6 35B A3B,openrouter,0.14,1.0,35.0,3.0,262144,2026,1,0
Qwen: Qwen3.5-35B-A3B,openrouter,0.139,1.0,35.0,3.0,262144,2026,1,0
NVIDIA: Nemotron 3 Nano 30B A3B,openrouter,0.05,0.2,30.0,3.0,262144,2025,0,0
Mistral: Ministral 3 3B 2512,openrouter,0.1,0.1,3.0,3.0,131072,2025,1,0
Qwen: Qwen3 VL 30B A3B Thinking,openrouter,0.13,1.56,30.0,3.0,131072,2025,1,0
Qwen: Qwen3 VL 30B A3B Instruct,openrouter,0.13,0.52,30.0,3.0,262144,2025,1,0
Qwen: Qwen3 Next 80B A3B Thinking,openrouter,0.0975,0.78,80.0,3.0,262144,2025,0,0
Qwen: Qwen3 Next 80B A3B Instruct,openrouter,0.09,1.1,80.0,3.0,262144,2025,0,0
Qwen: Qwen3 30B A3B Thinking 2507,openrouter,0.08,0.4,30.0,3.0,131072,2025,0,0
Qwen: Qwen3 Coder 30B A3B Instruct,openrouter,0.07,0.27,30.0,3.0,160000,2025,0,0
Qwen: Qwen3 30B A3B Instruct 2507,openrouter,0.09,0.3,30.0,3.0,262144,2025,0,0
Qwen: Qwen3 30B A3B,openrouter,0.09,0.45,30.0,3.0,131072,2025,0,0
Meta: Llama 3.2 3B Instruct,openrouter,0.0509,0.335,3.0,3.0,131072,2024,0,0
IBM: Granite 4.0 Micro,openrouter,0.017,0.112,3.3,3.3,131000,2025,0,0
GPT OSS 20B 128k,groq,0.075,0.3,20.0,3.6,131072,2025,0,0
GPT OSS Safeguard 20B,groq,0.075,0.3,20.0,3.6,131072,2025,0,0
Google: Gemma 4 26B A4B ,openrouter,0.06,0.33,26.0,4.0,262144,2026,1,0
Google: Gemma 3n 4B,openrouter,0.06,0.12,4.0,4.0,32768,2025,0,0
Google: Gemma 3 4B,openrouter,0.04,0.08,4.0,4.0,131072,2025,1,0
